"CARREIRA/PLANO";"ENSINO FUNDAMENTAL INCOMPLETO";"ENSINO FUNDAMENTAL";"ENSINO MÉDIO";"ENSINO SUPERIOR";"PÓS GRADUAÇÃO";"total"
"POLÍCIA MILITAR DOS EX-TERRITÓRIOS";69;222;1095;26;;1412
"PLANO ESPECIAL DE CARGOS DO DNIT";113;182;619;355;;1269
"CARREIRA DE SUPORTE TÉCNICO EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";32;19;547;530;10;1138
"CARREIRA DE PESQUISA EM CIÊNCIA E TECNOLOGIA";;;1;1072;19;1092
"CARREIRA DE SUPORTE EM PLANEJAMENTO, GESTÃO E INFRA-ESTRUTURA EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";60;69;565;285;;979
"PLANO ESPECIAL DE CARGOS DA AGÊNCIA DE VIGILÂNCIA SANITÁRIA";28;59;395;478;;960
"CARREIRA DE PRODUÇÃO E ANÁLISE EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";;;3;932;5;940
"CARREIRA DE AGENTE PENITENCIÁRIO";;;397;510;;907
"CARREIRA DE OFICIAL DE CHANCELARIA";;;18;852;;870
"CARREIRA DE PERITO FEDERAL AGRÁRIO";;;;838;1;839
"CARREIRA DE GESTÃO EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";;;5;776;7;788
"CARREIRA DE PESQUISA EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";;;;761;6;767
"CARREIRA DE ANALISTA DE INFRA-ESTRUTURA";;;;676;44;720
"CARREIRA DE PLANEJAMENTO, GESTÃO E INFRA-ESTRUTURA EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";;;4;697;17;718
"CARREIRA DE SUPORTE ÀS ATIVIDADES MÉDICO-HOSPITALARES - ÁREA DE SAÚDE";;;591;49;;640
"CARREIRA DE ASSISTENTE DE CHANCELARIA";;14;395;208;;617
"PLANO ESPECIAL DE CARGOS DAS AGÊNCIAS REGULADORAS";12;36;320;246;;614
"PLANO ESPECIAL DE CARGOS - DPRF";36;66;305;112;;519
"CARREIRA DE DEFENSOR PÚBLICO";;;;478;1;479
"CARREIRA DE SUPORTE À GESTÃO EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";9;14;210;217;1;451
"CARREIRA DE PESQUISA E DESENVOLVIMENTO EM METROLOGIA E QUALIDADE";;;;447;;447
"PLANO ESPECIAL DE CARGOS DO DNIT - ART. 3º-A DA LEI Nº 11.171/2005";44;27;35;334;;440
"CARREIRA DE INFRA-ESTRUTURA DE TRANSPORTES";;;;428;4;432
"POLÍCIA CIVIL DOS EX-TERRITÓRIOS";7;38;283;88;;416
"PLANO ESPECIAL DE CARGO DO DNPM - ART. 3º DA LEI Nº 11.046/2004";31;54;199;82;;366
"CARREIRA DE PESQUISA EM PROPRIEDADE INDUSTRIAL";;;;98;247;345
"CARREIRA DE ANALISTA DA CVM";;;;344;1;345
"PLANO ESPECIAL DE CARGOS DA SUFRAMA";2;10;146;179;;337
"CARREIRA MÉDICA - ÁREA MÉDICA";;;;334;;334
"CARREIRA DE ANALISTA TÉCNICO DA SUSEP";;;;331;1;332
"PLANO ESPECIAL DE CARGOS - PECMA";5;7;161;107;;280
"QUADRO DE PESSOAL DA IN";9;23;145;91;;268
"CARGOS DA AGÊNCIA NACIONAL DE ÁGUAS";;;;266;;266
"PLANO ESPECIAL DE CARGOS DO FNDE";10;7;102;144;1;264
"CARREIRA DE SUPORTE À GESTÃO EM METROLOGIA E QUALIDADE";27;24;158;54;;263
"CARREIRA DE ESPECIALISTA EM RECURSOS MINERAIS";;;;260;1;261
"CARREIRA DA SEGURIDADE SOCIAL E DO TRABALHO";30;46;109;71;;256
"PLANO ESPECIAL DE CARGOS DO DNPM - ART. 15 DA LEI Nº 11.046/2004";;1;48;206;;255
"PLANO DE CARREIRAS E CARGOS DA SUSEP E DA CVM";;1;111;137;;249
"PLANO GERAL DE CARGOS DO PODER EXECUTIVO - MÉDICO";;;1;244;1;246
"CARREIRA DE ANALISTA ADMINISTRATIVO";;;;214;;214
"CARREIRA DE PLANEJAMENTO E PESQUISA DO IPEA";;;;210;;210
"PLANO DE CARREIRAS E CARGOS DO IPEA - NÃO INTEGRANTES DE CARREIRAS";2;9;90;106;;207
"CARREIRA DE SUPORTE TÉCNICO EM PROPRIEDADE INDUSTRIAL";;;88;113;;201
"CARREIRA DE SUPORTE TÉCNICO À METROLOGIA E QUALIDADE";4;3;149;37;;193
"CARREIRA DE ESPECIALISTA EM ATIVIDADES HOSPITALARES - ÁREA DE SAÚDE";;;;178;;178
"CARREIRA DE SUPORTE TÉCNICO À INFRA-ESTRUTURA DE TRANSPRTES";;;101;67;;168
"PLANO DE CARREIRAS E CARGOS DE CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA - MÉDICO";;;;152;1;153
"CARREIRA DE GESTÃO EM METROLOGIA E QUALIDADE";;;;150;;150
"CARREIRA DE TÉCNICO ADMINISTRATIVO";;;93;49;;142
"QUADRO DE PESSOAL DO HFA - CARGOS DE NÍVEL INTERMEDIÁRIO DA ÁREA ADMINISTRATIVA";16;40;63;6;;125
"CARREIRA DE PESQUISA E DESENVOLVIMENTO DE INFORMAÇÕES E AVALIAÇÕES EDUCACIONAIS";;;;123;;123
"PLANO DE CARREIRAS E CARGOS DE CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";1;4;36;77;;118
"CARREIRA DE PRODUÇÃO E ANÁLISE EM PROPRIEDADE INDUSTRIAL";;;;84;28;112
"PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO - GRUPO ANTERIOR";8;9;44;42;;103
"CARREIRA DA SEGURIDADE SOCIAL E DO TRABALHO - MÉDICO";;;4;99;;103
"CARREIRA DE PESQUISA EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";;;;103;;103
"CARREIRA DE SUPORTE EM PLANEJAMENTO, GESTÃO E INFRA-ESTRUTURA EM PROPRIEDADE INDUSTRIAL";;1;28;72;;101
"CARREIRA DE SUPERVISOR MÉDICO-PERICIAL";;;;99;;99
"PLANO ESPECIAL DE CARGOS DA EMBRATUR";2;3;35;50;1;91
"PLANO ESPECIAL DE CARGOS DO INEP";1;2;24;56;;83
"PLANO DE CARREIRAS E CARGOS DE PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA";1;6;43;31;2;83
"CARREIRA DE SUPORTE TÉCNICO AO FINANCIAMENTO E EXECUÇÃO DE PROGRAMAS E PROJETOS EDUCACIONAIS";;;44;37;;81
"PLANO D E CLASSIFICAÇÃO DE CARGOS - PCC";9;6;25;41;;81
"CARREIRA DE PLANEJAMENTO, GESTÃO E INFRA-ESTRUTURA EM PROPRIEDADE INDUSTRIAL";;;;56;24;80
"CARREIRA DE FINANCIAMENTO E EXECUÇÃO DE PROGRAMAS E PROJETOS EDUCACIONAIS";;;;79;;79
"PLANO DE CARGOS DO GRUPO P-1500";;;;63;3;66
"CARREIRA DE PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA";;;;3;60;63
"CARGO ISOLADO DE INFRA-ESTRUTURA";;;;58;3;61
"PLANO ESPECIAL DE CARGOS DO MINISTÉRIO DA FAZENDA - MÉDICO";;;;55;;55
"PLANO ESPECIAL DE CARGO DO DPF - MÉDICO";;;;52;;52
"CARREIRA DE TÉCNICO EM ATIVIDADES DE MINERAÇÃO";;;35;6;;41
"PLANO GERAL DE CARGOS DO PODER EXECUTIVO - ENGENHEIRO-FARMACÊUTICO-QUÍMICO";;;;36;;36
"PLANO DE CARREIRA E CARGOS DA CVM";5;11;17;1;;34
"QUADRO DE PESSOAL DO HFA - CARGOS DE NÍVEL AUXILIAR DA ÁREA ADMINISTRATIVA";21;6;6;;;33
"PLANO DE CARREIRAS E CARGOS DA PREVIC";3;3;11;14;;31
"CARREIRA DE ESPECIALISTA EM ASSISTÊNCIA PENITENCIÁRIA";;;;28;;28
"CARREIRA DE SUPORTE TÉCNICO EM INFORMAÇÕES EDUCACIONAIS";;;17;11;;28
"CARREIRA DE ESPECIALISTA EM PREVIDÊNCIA COMPLEMENTAR";;;;25;;25
"CARREIRA DE PROCURADOR FEDERAL (TRANSFORMADO)";;;;23;1;24
"PLANO DE CARREIRAS E CARGOS DO IBGE";1;;11;10;;22
"PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO - GRUPO ANTERIOR - MÉDICO";;;;21;;21
"CARREIRA DE SUPORTE À GESTÃO EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE";;;4;16;;20
"CARREIRA DE DESENVOLVIMENTO TECNOLÓGICO EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE";;;;11;8;19
"CARREIRA DE APOIO OPERACIONAL À GESTÃO EM METROLOGIA E QUALIDADE";7;2;8;;;17
"CARREIRA DA PREVIDÊNCIA, DA SAÚDE E DO TRABALHO - SANITARISTA";;;;17;;17
"PLANO DE CARREIRAS E CARGOS DE CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA - CARGO ISOLADO";;;;16;;16
"CARREIRA DO SEGURO SOCIAL - MÉDICO";;;;14;;14
"QUADRO DE PESSOAL DO HFA - CARGOS DE NÍVEL SUPERIOR DA ÁREA ADMINISTRATIVA";;4;5;4;;13
"CARREIRA DE TÉCNICO DE APOIO À ASSISTÊNCIA PENITENCIÁRIA";;;11;2;;13
"PLANO DE CARREIRAS E CARGOS DE PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA - MÉDICO";;;;3;8;11
"PLANO DE CLASSIFICAÇÃO DE CARGOS - MÉDICO";;;;10;;10
"PLANO DE CARREIRA DOS CARGOS DE REFORMA E DESENVOLVIMENTO AGRÁRIO - MÉDICO";;;;10;;10
"PLANO ESPECIAL DE CARGOS DO DNIT - MÉDICO";;;;9;;9
"CARREIRA PREVIDENCIÁRIA";;1;1;5;;7
"PLANO ESPECIAL DE CARGOS - DPRF - MÉDICO";;;;7;;7
"PLANO DE CARREIRAS E CARGOS DO IBGE - MÉDICO";;;;6;;6
"PLANO DE CARREIRAS E CARGOS DA SUSEP - QUADRO SUPLEMENTAR";;1;4;1;;6
"CARREIRA DE GESTÃO EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE";;;;3;1;4
"PLANO DE CARREIRAS E CARGOS DO INPI - CARGO ISOLADO";;;;3;1;4
"PLANO DE CARREIRAS E CARGOS DO INMETRO - CARGO ISOLADO";;;;4;;4
"CARREIRA DE GESTÃO, PLANEJAMENTO E INFRA-ESTRUTURA EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA";;;3;;;3
"MAGISTÉRIO NÃO AMPARADO - EX-TERRITÓRIO (EXTINTO)";;;2;1;;3
"LLOYDBRÁS - EXTINTO";;;2;;;2
"CARREIRA DE SUPORTE TÉCNICO EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA";;;;1;1;2
"PLANO DE CARREIRAS E CARGOS DO IPEA - MÉDICO";;;;1;;1
"CARREIRA DO MAGISTÉRIO DO ENSINO BÁSICO FEDERAL";;;;1;;1
"CARREIRA DE PERÍCIA MÉDICA DA PREVIDÊNCIA SOCIAL (EXTINTA)";;;;1;;1
"QUADROS SUPLEMENTARES DA ADVOCACIA-GERAL DA UNIÃO";;;;1;;1
"CARREIRA PREVIDENCIÁRIA - MÉDICO";;;;1;;1
"PLANO DE CLASSIFICAÇÃO DE CARGOS - ANEXO V DA LEI Nº 9.367/96 E LEI Nº 6.550/78";;;;1;;1
"PLANO ESPECIAL DE CARGOS DA SUFRAMA - MÉDICO";;;;1;;1
"QUADRO DE PESSOAL DA IN - MÉDICO";;;;1;;1
"CARREIRA DE AUDITORIA FISCAL DA RECEITA FEDERAL DO BRASIL (GRUPO-CARGO ALTERADO)";;;;1;;1
