"CARREIRA/PLANO";"Até 30 anos";"31 a 40 anos";"41 a 50 anos";"51 a 60 anos";"61 ou mais";"não informado";"total"
"PLANO ESPECIAL DE CARGO DO DPF";175;626;595;824;183;;2403
"PLANO ESPECIAL DE CARGOS DA CULTURA";355;435;516;872;215;;2393
"PLANO GERAL DE CARGOS DO PODER EXECUTIVO - CARGO CRIADO EM 2006";1000;842;187;49;5;;2083
"CARREIRA DA PREVIDÊNCIA, DA SAÚDE E DO TRABALHO - ATIVIDADES DE COMBATE E CONTROLE DE ENDEMIAS";104;102;661;905;139;;1911
"CARREIRA DE PROCURADOR DA FAZENDA NACIONAL";278;1037;408;151;33;;1907
"ESTRUTURA REMUNERATÓRIA ESPECIAL DE CARGOS ESPECÍFICOS";168;232;170;785;402;;1757
"CARREIRA DE ADVOGADO DA UNIÃO";139;759;393;220;81;;1592
"CARREIRA DO MAGISTÉRIO DO ENSINO BÁSICO DOS EX-TERRITÓRIOS";;2;670;752;138;;1562
"CARREIRA DE DIPLOMATA";286;457;296;279;195;;1513
"CARREIRA DE DESENVOLVIMENTO TECNOLÓGICO EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";62;520;465;383;56;;1486
"POLÍCIA MILITAR DOS EX-TERRITÓRIOS";;6;1194;211;1;;1412
"PLANO ESPECIAL DE CARGOS DO DNIT";;60;245;656;308;;1269
"CARREIRA DE SUPORTE TÉCNICO EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";187;202;363;317;69;;1138
"CARREIRA DE PESQUISA EM CIÊNCIA E TECNOLOGIA";3;78;250;496;265;;1092
"CARREIRA DE SUPORTE EM PLANEJAMENTO, GESTÃO E INFRA-ESTRUTURA EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";;;148;653;178;;979
"PLANO ESPECIAL DE CARGOS DA AGÊNCIA DE VIGILÂNCIA SANITÁRIA";;4;263;559;134;;960
"CARREIRA DE PRODUÇÃO E ANÁLISE EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";43;231;185;359;122;;940
"CARREIRA DE AGENTE PENITENCIÁRIO";296;506;96;9;;;907
"CARREIRA DE OFICIAL DE CHANCELARIA";110;230;230;160;140;;870
"CARREIRA DE PERITO FEDERAL AGRÁRIO";50;245;191;260;93;;839
"CARREIRA DE GESTÃO EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";59;264;247;190;28;;788
"CARREIRA DE PESQUISA EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";2;133;250;288;94;;767
"CARREIRA DE ANALISTA DE INFRA-ESTRUTURA";220;318;108;67;7;;720
"CARREIRA DE PLANEJAMENTO, GESTÃO E INFRA-ESTRUTURA EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";84;287;149;157;41;;718
"CARREIRA DE SUPORTE ÀS ATIVIDADES MÉDICO-HOSPITALARES - ÁREA DE SAÚDE";235;312;83;9;1;;640
"CARREIRA DE ASSISTENTE DE CHANCELARIA";103;33;48;312;121;;617
"PLANO ESPECIAL DE CARGOS DAS AGÊNCIAS REGULADORAS";;14;158;329;113;;614
"PLANO ESPECIAL DE CARGOS - DPRF";;3;118;299;99;;519
"CARREIRA DE DEFENSOR PÚBLICO";157;272;37;8;5;;479
"CARREIRA DE SUPORTE À GESTÃO EM CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";28;25;185;169;44;;451
"CARREIRA DE PESQUISA E DESENVOLVIMENTO EM METROLOGIA E QUALIDADE";64;175;101;82;25;;447
"PLANO ESPECIAL DE CARGOS DO DNIT - ART. 3º-A DA LEI Nº 11.171/2005";;9;59;168;204;;440
"CARREIRA DE INFRA-ESTRUTURA DE TRANSPORTES";60;217;100;45;10;;432
"POLÍCIA CIVIL DOS EX-TERRITÓRIOS";;;173;213;30;;416
"PLANO ESPECIAL DE CARGO DO DNPM - ART. 3º DA LEI Nº 11.046/2004";;1;79;218;68;;366
"CARREIRA DE PESQUISA EM PROPRIEDADE INDUSTRIAL";9;174;57;76;29;;345
"CARREIRA DE ANALISTA DA CVM";45;113;97;72;18;;345
"PLANO ESPECIAL DE CARGOS DA SUFRAMA";61;70;73;105;28;;337
"CARREIRA MÉDICA - ÁREA MÉDICA";10;247;46;23;8;;334
"CARREIRA DE ANALISTA TÉCNICO DA SUSEP";86;100;88;46;12;;332
"PLANO ESPECIAL DE CARGOS - PECMA";137;72;40;29;2;;280
"QUADRO DE PESSOAL DA IN";;4;104;145;15;;268
"CARGOS DA AGÊNCIA NACIONAL DE ÁGUAS";39;132;64;26;5;;266
"PLANO ESPECIAL DE CARGOS DO FNDE";;5;99;138;22;;264
"CARREIRA DE SUPORTE À GESTÃO EM METROLOGIA E QUALIDADE";5;4;57;159;38;;263
"CARREIRA DE ESPECIALISTA EM RECURSOS MINERAIS";47;111;61;39;3;;261
"CARREIRA DA SEGURIDADE SOCIAL E DO TRABALHO";;17;48;107;84;;256
"PLANO ESPECIAL DE CARGOS DO DNPM - ART. 15 DA LEI Nº 11.046/2004";;;23;151;81;;255
"PLANO DE CARREIRAS E CARGOS DA SUSEP E DA CVM";48;64;53;70;14;;249
"PLANO GERAL DE CARGOS DO PODER EXECUTIVO - MÉDICO";;4;18;112;112;;246
"CARREIRA DE ANALISTA ADMINISTRATIVO";37;112;57;8;;;214
"CARREIRA DE PLANEJAMENTO E PESQUISA DO IPEA";17;76;69;32;16;;210
"PLANO DE CARREIRAS E CARGOS DO IPEA - NÃO INTEGRANTES DE CARREIRAS";10;10;51;121;15;;207
"CARREIRA DE SUPORTE TÉCNICO EM PROPRIEDADE INDUSTRIAL";21;52;39;77;12;;201
"CARREIRA DE SUPORTE TÉCNICO À METROLOGIA E QUALIDADE";50;33;27;70;13;;193
"CARREIRA DE ESPECIALISTA EM ATIVIDADES HOSPITALARES - ÁREA DE SAÚDE";77;91;9;1;;;178
"CARREIRA DE SUPORTE TÉCNICO À INFRA-ESTRUTURA DE TRANSPRTES";41;84;33;10;;;168
"PLANO DE CARREIRAS E CARGOS DE CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA - MÉDICO";;;9;108;36;;153
"CARREIRA DE GESTÃO EM METROLOGIA E QUALIDADE";19;57;33;30;11;;150
"CARREIRA DE TÉCNICO ADMINISTRATIVO";59;63;15;4;1;;142
"QUADRO DE PESSOAL DO HFA - CARGOS DE NÍVEL INTERMEDIÁRIO DA ÁREA ADMINISTRATIVA";;2;28;55;40;;125
"CARREIRA DE PESQUISA E DESENVOLVIMENTO DE INFORMAÇÕES E AVALIAÇÕES EDUCACIONAIS";42;55;21;5;;;123
"PLANO DE CARREIRAS E CARGOS DE CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA";;1;25;74;18;;118
"CARREIRA DE PRODUÇÃO E ANÁLISE EM PROPRIEDADE INDUSTRIAL";;39;42;22;9;;112
"PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO - GRUPO ANTERIOR";;10;45;41;7;;103
"CARREIRA DA SEGURIDADE SOCIAL E DO TRABALHO - MÉDICO";;1;27;32;43;;103
"CARREIRA DE PESQUISA EM INFORMAÇÕES GEOGRÁFICAS E ESTATÍSTICAS";1;6;10;55;31;;103
"CARREIRA DE SUPORTE EM PLANEJAMENTO, GESTÃO E INFRA-ESTRUTURA EM PROPRIEDADE INDUSTRIAL";8;18;28;39;8;;101
"CARREIRA DE SUPERVISOR MÉDICO-PERICIAL";;;35;58;6;;99
"PLANO ESPECIAL DE CARGOS DA EMBRATUR";30;19;16;24;2;;91
"PLANO ESPECIAL DE CARGOS DO INEP";2;13;30;32;6;;83
"PLANO DE CARREIRAS E CARGOS DE PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA";;1;26;47;9;;83
"CARREIRA DE SUPORTE TÉCNICO AO FINANCIAMENTO E EXECUÇÃO DE PROGRAMAS E PROJETOS EDUCACIONAIS";47;26;5;2;1;;81
"PLANO D E CLASSIFICAÇÃO DE CARGOS - PCC";;3;10;46;22;;81
"CARREIRA DE PLANEJAMENTO, GESTÃO E INFRA-ESTRUTURA EM PROPRIEDADE INDUSTRIAL";8;32;14;20;6;;80
"CARREIRA DE FINANCIAMENTO E EXECUÇÃO DE PROGRAMAS E PROJETOS EDUCACIONAIS";21;43;13;2;;;79
"PLANO DE CARGOS DO GRUPO P-1500";;;2;36;28;;66
"CARREIRA DE PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA";4;36;13;9;1;;63
"CARGO ISOLADO DE INFRA-ESTRUTURA";;;28;29;4;;61
"PLANO ESPECIAL DE CARGOS DO MINISTÉRIO DA FAZENDA - MÉDICO";;;;27;28;;55
"PLANO ESPECIAL DE CARGO DO DPF - MÉDICO";;18;17;11;6;;52
"CARREIRA DE TÉCNICO EM ATIVIDADES DE MINERAÇÃO";16;17;4;3;1;;41
"PLANO GERAL DE CARGOS DO PODER EXECUTIVO - ENGENHEIRO-FARMACÊUTICO-QUÍMICO";3;;4;16;13;;36
"PLANO DE CARREIRA E CARGOS DA CVM";;;17;16;1;;34
"QUADRO DE PESSOAL DO HFA - CARGOS DE NÍVEL AUXILIAR DA ÁREA ADMINISTRATIVA";;;6;23;4;;33
"PLANO DE CARREIRAS E CARGOS DA PREVIC";;3;10;16;2;;31
"CARREIRA DE ESPECIALISTA EM ASSISTÊNCIA PENITENCIÁRIA";13;12;3;;;;28
"CARREIRA DE SUPORTE TÉCNICO EM INFORMAÇÕES EDUCACIONAIS";21;6;1;;;;28
"CARREIRA DE ESPECIALISTA EM PREVIDÊNCIA COMPLEMENTAR";11;9;3;2;;;25
"CARREIRA DE PROCURADOR FEDERAL (TRANSFORMADO)";;;3;17;4;;24
"PLANO DE CARREIRAS E CARGOS DO IBGE";;;4;15;3;;22
"PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO - GRUPO ANTERIOR - MÉDICO";;;12;9;;;21
"CARREIRA DE SUPORTE À GESTÃO EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE";13;5;1;1;;;20
"CARREIRA DE DESENVOLVIMENTO TECNOLÓGICO EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE";11;6;2;;;;19
"CARREIRA DE APOIO OPERACIONAL À GESTÃO EM METROLOGIA E QUALIDADE";;;2;11;4;;17
"CARREIRA DA PREVIDÊNCIA, DA SAÚDE E DO TRABALHO - SANITARISTA";;2;1;11;3;;17
"PLANO DE CARREIRAS E CARGOS DE CIÊNCIA, TECNOLOGIA, PRODUÇÃO E INOVAÇÃO EM SAÚDE PÚBLICA - CARGO ISOLADO";;4;9;2;1;;16
"CARREIRA DO SEGURO SOCIAL - MÉDICO";;;;3;11;;14
"QUADRO DE PESSOAL DO HFA - CARGOS DE NÍVEL SUPERIOR DA ÁREA ADMINISTRATIVA";;;1;7;5;;13
"CARREIRA DE TÉCNICO DE APOIO À ASSISTÊNCIA PENITENCIÁRIA";3;9;1;;;;13
"PLANO DE CARREIRAS E CARGOS DE PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA - MÉDICO";;;;10;1;;11
"PLANO DE CLASSIFICAÇÃO DE CARGOS - MÉDICO";;;1;1;8;;10
"PLANO DE CARREIRA DOS CARGOS DE REFORMA E DESENVOLVIMENTO AGRÁRIO - MÉDICO";;;;5;5;;10
"PLANO ESPECIAL DE CARGOS DO DNIT - MÉDICO";;;1;4;4;;9
"CARREIRA PREVIDENCIÁRIA";;1;4;2;;;7
"PLANO ESPECIAL DE CARGOS - DPRF - MÉDICO";;;;3;4;;7
"PLANO DE CARREIRAS E CARGOS DO IBGE - MÉDICO";;;;3;3;;6
"PLANO DE CARREIRAS E CARGOS DA SUSEP - QUADRO SUPLEMENTAR";;;1;4;1;;6
"CARREIRA DE GESTÃO EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE";1;;3;;;;4
"PLANO DE CARREIRAS E CARGOS DO INPI - CARGO ISOLADO";;;2;2;;;4
"PLANO DE CARREIRAS E CARGOS DO INMETRO - CARGO ISOLADO";;;2;1;1;;4
"CARREIRA DE GESTÃO, PLANEJAMENTO E INFRA-ESTRUTURA EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA";;;;3;;;3
"MAGISTÉRIO NÃO AMPARADO - EX-TERRITÓRIO (EXTINTO)";;;;1;2;;3
"LLOYDBRÁS - EXTINTO";;;;;2;;2
"CARREIRA DE SUPORTE TÉCNICO EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA";;1;;1;;;2
"PLANO DE CARREIRAS E CARGOS DO IPEA - MÉDICO";;;;;1;;1
"CARREIRA DO MAGISTÉRIO DO ENSINO BÁSICO FEDERAL";;;1;;;;1
"CARREIRA DE PERÍCIA MÉDICA DA PREVIDÊNCIA SOCIAL (EXTINTA)";;;1;;;;1
"QUADROS SUPLEMENTARES DA ADVOCACIA-GERAL DA UNIÃO";;;;;1;;1
"CARREIRA PREVIDENCIÁRIA - MÉDICO";;;;;1;;1
"PLANO DE CLASSIFICAÇÃO DE CARGOS - ANEXO V DA LEI Nº 9.367/96 E LEI Nº 6.550/78";;;;;1;;1
"PLANO ESPECIAL DE CARGOS DA SUFRAMA - MÉDICO";;1;;;;;1
"QUADRO DE PESSOAL DA IN - MÉDICO";;;1;;;;1
"CARREIRA DE AUDITORIA FISCAL DA RECEITA FEDERAL DO BRASIL (GRUPO-CARGO ALTERADO)";;;;;1;;1
