"CARREIRA/PLANO";"Num serv Rio de Janeiro";"total"
"CARREIRA DO SEGURO SOCIAL - MÉDICO";5;14
"QUADRO DE PESSOAL DO HFA - CARGOS DE NÍVEL SUPERIOR DA ÁREA ADMINISTRATIVA";;13
"CARREIRA DE TÉCNICO DE APOIO À ASSISTÊNCIA PENITENCIÁRIA";;13
"PLANO DE CARREIRAS E CARGOS DE PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA - MÉDICO";;11
"PLANO DE CLASSIFICAÇÃO DE CARGOS - MÉDICO";2;10
"PLANO DE CARREIRA DOS CARGOS DE REFORMA E DESENVOLVIMENTO AGRÁRIO - MÉDICO";1;10
"PLANO ESPECIAL DE CARGOS DO DNIT - MÉDICO";;9
"CARREIRA PREVIDENCIÁRIA";4;7
"PLANO ESPECIAL DE CARGOS - DPRF - MÉDICO";1;7
"PLANO DE CARREIRAS E CARGOS DO IBGE - MÉDICO";6;6
"PLANO DE CARREIRAS E CARGOS DA SUSEP - QUADRO SUPLEMENTAR";5;6
"CARREIRA DE GESTÃO EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE";;4
"PLANO DE CARREIRAS E CARGOS DO INPI - CARGO ISOLADO";4;4
"PLANO DE CARREIRAS E CARGOS DO INMETRO - CARGO ISOLADO";4;4
"CARREIRA DE GESTÃO, PLANEJAMENTO E INFRA-ESTRUTURA EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA";;3
"MAGISTÉRIO NÃO AMPARADO - EX-TERRITÓRIO (EXTINTO)";1;3
"LLOYDBRÁS - EXTINTO";2;2
"CARREIRA DE SUPORTE TÉCNICO EM PESQUISA E INVESTIGAÇÃO BIOMÉDICA EM SAÚDE PÚBLICA";;2
"PLANO DE CARREIRAS E CARGOS DO IPEA - MÉDICO";;1
"CARREIRA DO MAGISTÉRIO DO ENSINO BÁSICO FEDERAL";1;1
"CARREIRA DE PERÍCIA MÉDICA DA PREVIDÊNCIA SOCIAL (EXTINTA)";1;1
"QUADROS SUPLEMENTARES DA ADVOCACIA-GERAL DA UNIÃO";;1
"CARREIRA PREVIDENCIÁRIA - MÉDICO";;1
"PLANO DE CLASSIFICAÇÃO DE CARGOS - ANEXO V DA LEI Nº 9.367/96 E LEI Nº 6.550/78";;1
"PLANO ESPECIAL DE CARGOS DA SUFRAMA - MÉDICO";;1
"QUADRO DE PESSOAL DA IN - MÉDICO";;1
"CARREIRA DE AUDITORIA FISCAL DA RECEITA FEDERAL DO BRASIL (GRUPO-CARGO ALTERADO)";;1
